hour,startinendout_lambda,loglambda,startoutendin_lambda
0.0,1.1,0.0,2.4
1.0,1.1,0.0,1.8740740740740742
2.0,1.1,0.0,1.2222222222222223
3.0,1.1,0.0,1.1
4.0,1.1,0.0,1.2375
5.0,7.1076918000000004,1.865867369953203,2.9464285714285716
6.0,17.769230600000004,2.7821581637321224,7.412307692307693
7.0,41.88461530000001,3.6396084030869518,9.07076923076923
8.0,41.88461530000001,3.6396084030869518,16.90615384615385
9.0,20.9846153,2.948479384671187,8.96923076923077
10.0,8.123076500000002,1.9993987819229648,6.616923076923078
11.0,8.123076500000002,1.9993987819229648,7.953846153846155
12.0,8.123076500000002,1.9993987819229648,9.121538461538464
13.0,8.123076500000002,1.9993987819229648,9.172307692307694
14.0,8.123076500000002,1.9993987819229648,11.186153846153847
15.0,13.5384612,2.51022443277229,14.486153846153847
16.0,14.723076500000001,2.59410591301736,17.93846153846154
17.0,29.192308200000003,3.2785950769611274,42.98461538461539
18.0,26.315384700000003,3.1748435579331313,39.63384615384616
19.0,23.6923082,3.069840267136284,27.483076923076926
20.0,20.8153847,2.9403821825358665,18.970769230769232
21.0,17.0923082,2.7433183696426378,13.335384615384616
22.0,9.984615300000002,2.2057352585295518,9.40923076923077
23.0,5.3790000000000004,1.5871923034867805,5.150793650793651
